#Spectroscopic redshift catalogue from Noirot et al.
#See Table B1 in Noirot et al. for a description of catalogue entries 
ID RA DEC FLUX_F435W FLUXERR_F435W FLUX_F606W FLUXERR_F606W FLUX_F814W FLUXERR_F814W FLUX_F090W FLUXERR_F090W FLUX_F150W FLUXERR_F150W FLUX_F200W FLUXERR_F200W FLUX_F277W FLUXERR_F277W FLUX_F356W FLUXERR_F356W FLUX_F444W FLUXERR_F444W Z_GRISM ZERR_GRISM Q_FLAG Z_SPEC REF_SPEC FLAG_MERGE_GRISM FLAG_MERGE_SPEC MU
244 110.795717 -73.478566 730.73 60.33 3767.49 34.18 8127.88 39.89 "" "" "" "" "" "" "" "" "" "" "" "" 0.3941 0.0021 1 "" "" False False 1.0
311 110.82779 -73.474637 283.09 146.9 3667.38 63.98 8301.88 89.35 11326.55 29.37 19625.74 27.63 22930.48 18.46 20229.1 10.82 12422.16 9.19 9781.05 11.63 0.3964 0.0013 1 "" "" False False 1.0
329 110.80348 -73.474056 263.16 59.11 572.26 27.08 1212.73 35.65 1473.57 11.79 2604.46 10.9 3098.87 7.14 3556.0 4.35 3097.01 3.96 2296.01 4.88 0.7388 0.0006 1 "" "" False False 1.3
343 110.799126 -73.473015 187.96 67.56 180.77 31.13 404.48 47.16 483.05 12.31 660.61 11.77 706.09 7.09 633.11 4.17 464.31 3.86 309.74 5.3 0.8226 0.0017 2 "" "" False False 1.3
367 110.840621 -73.471706 -119.66 108.71 111.01 25.32 173.78 39.29 229.21 10.93 715.01 10.53 759.62 6.39 825.45 3.67 869.09 3.43 921.65 4.58 2.1182 0.003 1 "" "" False False 1.7
370 110.836605 -73.471633 286.07 54.11 279.17 23.15 524.41 31.5 532.73 7.98 654.75 7.67 646.51 4.65 659.8 2.93 528.79 2.66 371.57 3.52 0.7477 0.2712 2 "" "" True False 1.3
376 110.795178 -73.471354 290.21 77.79 540.57 35.2 883.71 47.17 1202.61 14.61 2780.93 14.01 3406.46 8.94 3717.49 5.27 4276.08 4.99 4761.53 6.42 1.9661 0.0006 1 "" "" True False 1.6
387 110.796473 -73.470575 -25.11 60.22 111.96 27.72 285.0 36.27 457.29 10.3 1537.15 9.99 2748.0 6.64 3980.2 4.56 5510.08 4.58 6961.36 5.75 1.9697 0.0005 1 "" "" False False 1.7
389 110.847176 -73.470383 1148.25 115.86 1257.69 56.71 1035.39 67.32 1542.91 20.01 3641.14 18.95 4243.06 11.87 4172.65 6.82 4296.61 6.35 4499.56 8.38 1.9539 0.0022 2 "" "" False False 1.7
402 110.829951 -73.469928 40.26 33.23 98.37 14.27 70.93 19.84 157.75 4.92 294.97 4.75 297.89 3.03 322.15 1.83 332.1 1.68 328.45 2.24 1.3832 0.1709 2 "" "" False False 1.7
406 110.829035 -73.469272 707.78 91.9 3343.43 42.47 8625.74 57.35 10875.12 15.74 22652.7 16.39 27560.49 12.29 25544.11 8.47 15838.45 6.4 12665.53 7.04 0.3969 0.0007 1 "" "" False False 1.0
407 110.858903 -73.469301 415.75 101.49 3504.03 46.0 8344.59 64.88 10340.46 26.28 20560.98 23.26 24434.28 18.63 23556.57 10.24 14603.62 7.99 11560.08 9.07 0.4076 0.002 1 "" "" False False 1.1
418 110.8271 -73.468999 13.6 38.05 83.13 16.33 222.8 22.24 317.98 5.84 658.64 5.68 747.62 3.48 873.84 2.24 940.54 2.07 860.5 2.62 1.2256 0.0022 2 "" "" False False 1.7
446 110.832168 -73.467505 69.96 90.17 285.34 39.58 347.34 52.69 672.97 13.04 1379.68 12.49 1401.64 7.63 1525.46 4.8 1474.52 4.51 1461.93 5.87 1.4199 0.0025 2 "" "" False False 1.9
454 110.77943 -73.467186 -15.61 64.51 66.55 28.26 71.03 38.63 136.53 17.74 906.33 13.74 1665.75 10.35 3100.57 6.02 3988.5 5.97 5295.81 7.54 2.0476 0.0033 2 "" "" False False 1.8
455 110.810922 -73.466859 921.8 138.04 6210.59 66.39 15006.77 84.48 19771.33 23.46 41012.06 24.06 49724.49 17.47 45450.64 12.21 27832.53 9.53 22268.03 10.43 0.3941 0.001 1 "" "" False False 1.0
456 110.868699 -73.467207 -38.92 41.04 270.72 18.29 263.89 26.69 330.08 9.3 643.7 7.59 796.48 5.42 793.08 2.65 948.74 2.5 1036.03 3.24 2.5736 0.0012 2 "" "" False False 2.0
459 110.78336 -73.466853 449.56 49.82 512.67 21.76 1068.72 30.44 1271.01 9.77 1682.86 9.19 1903.79 5.96 2040.76 3.49 1956.19 3.21 1447.41 3.94 0.9117 0.0007 2 "" "" False False 1.5
475 110.87984 -73.465816 6.7 76.51 106.68 32.5 375.33 46.99 514.61 20.21 5540.09 17.45 7988.18 13.94 10938.08 9.79 13211.58 9.81 15398.43 11.34 1.9937 0.0023 1 "" "" False False 2.0
477 110.871106 -73.46572 201.34 39.87 208.19 17.56 288.41 25.34 324.42 7.35 544.87 6.95 561.73 4.3 571.46 2.5 563.91 2.31 505.88 3.0 "" "" -99 1.244 nirspec False False 1.8
483 110.852782 -73.465338 91.15 49.97 258.51 22.29 238.23 35.29 236.53 9.08 764.92 8.63 801.38 5.35 836.66 2.71 823.68 2.5 859.67 3.28 1.9826 0.0019 1 "" "" False False 2.3
484 110.876365 -73.465226 166.56 35.24 353.73 16.18 311.66 22.65 309.72 6.59 451.27 6.18 569.82 4.28 494.41 2.24 438.82 2.05 465.56 2.72 2.8132 0.0009 2 "" "" False False 2.2
485 110.82045 -73.465196 843.19 67.61 1925.83 33.6 3017.5 40.78 3493.11 11.12 5200.37 10.58 5779.69 7.04 5179.11 4.38 3392.54 3.72 2857.41 4.66 0.3958 0.0032 1 "" "" False False 1.0
493 110.808069 -73.464869 94.35 35.9 105.68 15.87 201.68 20.61 205.6 5.48 367.77 5.23 383.89 3.23 389.54 2.01 373.89 1.84 353.89 2.42 1.3713 0.0026 2 "" "" False False 2.1
497 110.781836 -73.46472 593.46 56.43 465.85 25.13 886.81 34.39 1000.78 12.38 1143.75 10.51 1203.49 7.15 1303.45 3.61 1202.94 3.35 885.31 4.34 0.9127 0.0005 2 "" "" False False 1.6
500 110.823451 -73.464713 248.5 49.28 301.75 22.22 353.13 28.23 446.49 7.28 691.6 7.02 760.9 4.33 836.06 2.7 848.71 2.48 881.08 3.26 1.5626 0.0021 2 "" "" False False 2.3
502 110.867622 -73.464139 178.99 154.2 4011.37 68.72 9577.53 97.68 13635.93 24.31 27478.13 24.03 32953.89 16.38 29371.59 10.35 17775.07 8.73 14041.29 10.64 0.392 0.0015 1 "" "" False False 1.0
506 110.830329 -73.464042 992.16 91.69 4186.98 42.42 10001.07 57.12 12493.53 16.14 25071.99 16.83 30061.57 12.76 27480.09 8.42 16939.42 6.37 13662.49 6.96 0.3938 0.0008 1 "" "" False False 1.0
507 110.81779 -73.464189 172.76 31.81 223.79 14.43 292.52 17.99 366.6 4.85 498.26 4.59 502.77 2.89 517.57 1.81 519.13 1.65 443.14 2.1 1.1348 0.0019 2 "" "" False False 2.1
516 110.783956 -73.463544 83.1 49.78 170.5 22.79 300.34 29.83 445.96 8.13 1148.94 7.85 1318.9 5.03 1632.44 2.98 1753.4 2.75 1856.01 3.57 1.4729 0.0009 2 "" "" False False 2.0
522 110.848874 -73.463069 868.39 102.22 2896.09 46.42 7139.55 127.43 8903.54 20.53 17596.29 19.82 20666.97 14.34 18819.25 7.75 11702.34 6.07 9225.91 7.1 0.4066 0.0018 1 "" "" False False 1.0
524 110.809965 -73.46312 317.76 49.15 593.07 22.49 1200.67 28.71 1491.58 7.77 3014.52 7.75 3791.46 5.36 4386.44 3.56 3414.43 3.04 2579.03 3.51 0.5972 0.0008 2 "" "" False False 1.5
